OrderNumber;Sales Channel;OrderDate;ShipDate;DeliveryDate;CurrencyCode;_SalesTeamID;salesteam name;_StoreID;StateName;statecode;household income;population;City Name;_ProductID;Order Quantity;Discount Applied;Unit Price;Unit Cost
SO - 0007947;In-Store;14/12/2020;05/01/2021;07/01/2021;USD;10;Jonathan Hawkins;254;Nevada;NV;88401;223.182;Paradise;37;1;15%;221,10;110,55
SO - 0007948;In-Store;14/12/2020;17/12/2020;20/12/2020;USD;10;Jonathan Hawkins;235;North Carolina;NC;170366;451.066;Raleigh;23;3;7,5%;978,20;606,48
SO - 0007949;In-Store;14/12/2020;22/12/2020;27/12/2020;USD;11;Joshua Little;169;Illinois;IL;42938;114.057;Palatine (Township);36;7;10%;207,70;99,70
SO - 0007950;Distributor;14/12/2020;05/01/2021;12/01/2021;USD;23;Douglas Tucker;350;Virginia;VA;98441;220.173;Arlington;46;3;5%;670,00;529,30
SO - 0007951;Distributor;14/12/2020;07/01/2021;08/01/2021;USD;22;Joe Price;293;Pennsylvania;PA;41244;120.207;Allentown;31;8;7,5%;167,50;135,68
SO - 0007952;Online;14/12/2020;09/01/2021;10/01/2021;USD;12;Carl Nguyen;266;New York;NY;738644;1.644.518;Manhattan;17;4;15%;180,90;92,26
SO - 0007953;In-Store;14/12/2020;28/12/2020;07/01/2021;USD;5;Stephen Payne;88;California;CA;30451;100.890;Vista;2;5;10%;2.345,00;1.782,20
SO - 0007954;Online;14/12/2020;28/12/2020;02/01/2021;USD;12;Carl Nguyen;273;New York;NY;39425;118.275;Smithtown;39;4;7,5%;1.038,50;706,18
SO - 0007955;In-Store;14/12/2020;20/12/2020;23/12/2020;USD;4;Chris Armstrong;101;Colorado;CO;42679;133.451;Thornton;15;8;7,5%;174,20;85,36
SO - 0007956;Distributor;14/12/2020;07/01/2021;15/01/2021;USD;23;Douglas Tucker;361;Washington;WA;296633;684.451;Seattle;2;7;10%;877,70;737,27
SO - 0007957;Distributor;14/12/2020;19/12/2020;28/12/2020;USD;22;Joe Price;240;Nebraska;NE;173764;443.885;Omaha;10;7;7,5%;1.118,90;469,94
SO - 0007958;Online;15/12/2020;07/01/2021;17/01/2021;USD;19;Nicholas Cunningham;75;California;CA;43433;126.215;Santa Clara;40;6;5%;187,60;148,20
SO - 0007959;Online;15/12/2020;03/01/2021;06/01/2021;USD;18;Shawn Wallace;19;California;CA;45917;120.972;Berkeley;39;8;40%;2.378,50;1.522,24
SO - 0007960;In-Store;15/12/2020;24/12/2020;31/12/2020;USD;2;Keith Griffin;161;Illinois;IL;46895;147.861;Joliet;45;2;15%;984,90;837,17
SO - 0007961;In-Store;15/12/2020;03/01/2021;06/01/2021;USD;7;Shawn Cook;63;California;CA;36973;109.708;Richmond;17;7;7,5%;1.976,50;948,72
SO - 0007962;Distributor;15/12/2020;11/01/2021;20/01/2021;USD;25;Patrick Graham;82;California;CA;32835;112.011;Temecula;43;2;20%;3.886,00;1.748,70
SO - 0007963;Online;15/12/2020;19/12/2020;29/12/2020;USD;12;Carl Nguyen;187;Indiana;IN;58240;157.105;North;24;3;7,5%;214,40;105,06
SO - 0007964;Online;16/12/2020;28/12/2020;01/01/2021;USD;16;Anthony Berry;281;Ohio;OH;334724;850.106;Columbus;33;2;7,5%;1.802,30;1.477,89
SO - 0007965;In-Store;16/12/2020;13/01/2021;15/01/2021;USD;7;Shawn Cook;131;Florida;FL;56171;166.611;Pembroke Pines;3;2;7,5%;5.849,10;4.328,33
SO - 0007966;Online;16/12/2020;10/01/2021;17/01/2021;USD;17;Frank Brown;161;Illinois;IL;46895;147.861;Joliet;14;3;5%;938,00;637,84
SO - 0007967;In-Store;16/12/2020;28/12/2020;04/01/2021;USD;7;Shawn Cook;297;South Carolina;SC;52450;132.609;Charleston;11;3;15%;1.882,70;997,83
SO - 0007968;In-Store;16/12/2020;23/12/2020;24/12/2020;USD;9;Joshua Ryan;102;Colorado;CO;42239;113.130;Westminster;10;6;7,5%;3.926,20;1.923,84
SO - 0007969;Online;16/12/2020;08/01/2021;13/01/2021;USD;17;Frank Brown;296;Rhode Island;RI;61481;179.207;Providence;37;5;10%;1.876,00;1.331,96
SO - 0007970;In-Store;17/12/2020;20/12/2020;22/12/2020;USD;1;Adam Hernandez;132;Florida;FL;41422;107.762;Pompano Beach;29;5;10%;3.993,20;2.954,97
SO - 0007971;Distributor;17/12/2020;24/12/2020;26/12/2020;USD;25;Patrick Graham;177;Illinois;IL;62380;169.468;Thornton (Township);43;2;20%;6.472,20;4.012,76
SO - 0007972;In-Store;17/12/2020;11/01/2021;16/01/2021;USD;1;Adam Hernandez;81;California;CA;55094;151.754;Sunnyvale;12;4;30%;3.912,80;1.839,02
SO - 0007973;Wholesale;17/12/2020;12/01/2021;19/01/2021;USD;27;Shawn Torres;135;Florida;FL;105443;257.083;St. Petersburg;26;5;5%;5.386,80;2.908,87
SO - 0007974;Online;17/12/2020;19/12/2020;26/12/2020;USD;19;Nicholas Cunningham;282;Ohio;OH;57316;140.599;Dayton;44;6;5%;730,30;460,09
SO - 0007975;In-Store;17/12/2020;25/12/2020;03/01/2021;USD;2;Keith Griffin;86;California;CA;31886;122.225;Victorville;17;3;10%;2.264,60;1.471,99
SO - 0007976;Online;17/12/2020;12/01/2021;20/01/2021;USD;13;Todd Roberts;98;Colorado;CO;37157;101.350;Highlands Ranch;5;7;5%;984,90;482,60
SO - 0007977;Wholesale;17/12/2020;28/12/2020;03/01/2021;USD;26;Donald Reynolds;211;Maryland;MD;242268;621.849;Baltimore;38;6;7,5%;2.854,20;2.197,73
SO - 0007978;In-Store;17/12/2020;22/12/2020;27/12/2020;USD;9;Joshua Ryan;133;Florida;FL;59221;179.413;Port St. Lucie;45;8;7,5%;268,00;160,80
SO - 0007979;Distributor;17/12/2020;12/01/2021;19/01/2021;USD;21;Samuel Fowler;17;California;CA;33718;110.542;Antioch;5;3;20%;6.398,50;4.542,94
SO - 0007980;Wholesale;17/12/2020;21/12/2020;26/12/2020;USD;26;Donald Reynolds;106;Connecticut;CT;45239;124.006;Hartford (Town);26;5;7,5%;3.597,90;1.726,99
SO - 0007981;In-Store;17/12/2020;11/01/2021;20/01/2021;USD;8;George Lewis;136;Florida;FL;74388;189.907;Tallahassee;27;3;20%;4.020,00;3.135,60
SO - 0007982;In-Store;18/12/2020;24/12/2020;26/12/2020;USD;7;Shawn Cook;234;North Carolina;NC;40973;110.268;High Point;35;1;5%;2.586,20;1.784,48
SO - 0007983;In-Store;18/12/2020;08/01/2021;12/01/2021;USD;9;Joshua Ryan;182;Indiana;IN;59947;147.837;Center;43;4;5%;1.065,30;617,87
SO - 0007984;In-Store;18/12/2020;10/01/2021;14/01/2021;USD;7;Shawn Cook;140;Georgia;GA;185820;463.878;Atlanta;1;3;30%;3.899,40;1.949,70
SO - 0007985;In-Store;18/12/2020;22/12/2020;24/12/2020;USD;11;Joshua Little;16;California;CA;99670;350.742;Anaheim;37;7;5%;884,40;512,95
SO - 0007986;Distributor;18/12/2020;27/12/2020;03/01/2021;USD;21;Samuel Fowler;11;Arizona;AZ;525610;1.563.025;Phoenix;20;7;40%;1.132,30;532,18
SO - 0007987;In-Store;18/12/2020;07/01/2021;16/01/2021;USD;11;Joshua Little;119;Florida;FL;73446;178.590;Fort Lauderdale;4;1;7,5%;2.425,40;1.479,49
SO - 0007988;Distributor;18/12/2020;14/01/2021;20/01/2021;USD;21;Samuel Fowler;41;California;CA;46713;158.289;Hayward;5;8;5%;221,10;145,93
SO - 0007989;In-Store;19/12/2020;05/01/2021;11/01/2021;USD;7;Shawn Cook;162;Illinois;IL;45377;119.818;Lisle (Township);2;1;10%;1.005,00;422,10
SO - 0007990;Online;19/12/2020;08/01/2021;11/01/2021;USD;19;Nicholas Cunningham;116;Florida;FL;46234;113.003;Clearwater;18;5;7,5%;3.993,20;2.395,92
SO - 0007991;Online;19/12/2020;02/01/2021;05/01/2021;USD;16;Anthony Berry;104;Connecticut;CT;50367;147.629;Bridgeport (Town);15;1;7,5%;3.906,10;1.874,93
SO - 0007992;Online;19/12/2020;28/12/2020;05/01/2021;USD;15;Roger Alexander;18;California;CA;112439;373.640;Bakersfield;11;7;10%;1.983,20;1.566,73
SO - 0007993;In-Store;19/12/2020;30/12/2020;09/01/2021;USD;3;Jerry Green;155;Illinois;IL;50476;116.358;Capital;17;8;20%;1.005,00;472,35
SO - 0007994;Online;20/12/2020;04/01/2021;10/01/2021;USD;15;Roger Alexander;86;California;CA;31886;122.225;Victorville;25;7;15%;1.742,00;975,52
SO - 0007995;Online;20/12/2020;06/01/2021;10/01/2021;USD;19;Nicholas Cunningham;73;California;CA;37861;103.536;San Mateo;35;7;5%;964,80;781,49
SO - 0007996;In-Store;20/12/2020;30/12/2020;01/01/2021;USD;6;Joshua Bennett;194;Kansas;KS;54629;151.306;Kansas City;28;8;7,5%;991,60;644,54
SO - 0007997;In-Store;20/12/2020;01/01/2021;10/01/2021;USD;4;Chris Armstrong;202;Louisiana;LA;50025;127.657;Lafayette;22;7;10%;3.993,20;2.875,10
SO - 0007998;Online;20/12/2020;10/01/2021;20/01/2021;USD;18;Shawn Wallace;146;Hawaii;HI;127177;352.769;Honolulu;40;1;10%;2.633,10;1.158,56
SO - 0007999;In-Store;20/12/2020;29/12/2020;01/01/2021;USD;5;Stephen Payne;113;District of Columbia;DC;273390;672.228;Washington;8;6;7,5%;777,20;606,22
SO - 0008000;Online;20/12/2020;12/01/2021;21/01/2021;USD;16;Anthony Berry;242;New Jersey;NJ;35198;102.701;Edison;20;8;15%;2.546,00;1.731,28
SO - 0008001;Online;20/12/2020;12/01/2021;13/01/2021;USD;18;Shawn Wallace;22;California;CA;78066;265.757;Chula Vista;2;8;7,5%;167,50;72,03
SO - 0008002;Online;20/12/2020;13/01/2021;21/01/2021;USD;15;Roger Alexander;155;Illinois;IL;50476;116.358;Capital;15;5;15%;3.551,00;2.308,15
SO - 0008003;Online;20/12/2020;27/12/2020;03/01/2021;USD;19;Nicholas Cunningham;303;Tennessee;TN;81073;185.291;Knoxville;26;4;40%;5.152,30;2.112,44
SO - 0008004;Distributor;21/12/2020;15/01/2021;23/01/2021;USD;23;Douglas Tucker;217;Michigan;MI;49444;132.052;Sterling Heights;16;4;7,5%;911,20;583,17
SO - 0008005;Wholesale;21/12/2020;27/12/2020;31/12/2020;USD;26;Donald Reynolds;19;California;CA;45917;120.972;Berkeley;21;8;5%;2.847,50;1.395,28
SO - 0008006;Distributor;21/12/2020;14/01/2021;19/01/2021;USD;20;Anthony Torres;116;Florida;FL;46234;113.003;Clearwater;41;3;20%;3.825,70;3.251,85
SO - 0008007;Wholesale;21/12/2020;04/01/2021;14/01/2021;USD;26;Donald Reynolds;288;Oregon;OR;66093;163.460;Eugene;37;7;7,5%;3.953,00;2.688,04
SO - 0008008;Distributor;21/12/2020;04/01/2021;14/01/2021;USD;21;Samuel Fowler;16;California;CA;99670;350.742;Anaheim;7;5;20%;6.210,90;3.540,21
SO - 0008009;Online;21/12/2020;17/01/2021;18/01/2021;USD;12;Carl Nguyen;349;Virginia;VA;66879;153.511;Alexandria;29;2;5%;1.896,10;1.611,69
SO - 0008010;Online;21/12/2020;27/12/2020;06/01/2021;USD;19;Nicholas Cunningham;45;California;CA;24839;100.314;Jurupa Valley;38;6;30%;3.912,80;2.856,34
SO - 0008011;Wholesale;21/12/2020;13/01/2021;21/01/2021;USD;26;Donald Reynolds;42;California;CA;74460;201.899;Huntington Beach;38;7;5%;227,80;127,57
SO - 0008012;In-Store;21/12/2020;30/12/2020;02/01/2021;USD;11;Joshua Little;19;California;CA;45917;120.972;Berkeley;35;1;5%;1.802,30;1.117,43
SO - 0008013;Distributor;21/12/2020;30/12/2020;31/12/2020;USD;23;Douglas Tucker;73;California;CA;37861;103.536;San Mateo;7;3;7,5%;2.378,50;1.950,37
SO - 0008014;Wholesale;21/12/2020;17/01/2021;18/01/2021;USD;26;Donald Reynolds;300;South Dakota;SD;65538;171.544;Sioux Falls;19;1;7,5%;4.020,00;2.211,00
SO - 0008015;In-Store;21/12/2020;26/12/2020;02/01/2021;USD;10;Jonathan Hawkins;350;Virginia;VA;98441;220.173;Arlington;33;7;15%;207,70;122,54
SO - 0008016;Distributor;22/12/2020;11/01/2021;20/01/2021;USD;24;Roy Rice;365;Wisconsin;WI;42308;105.207;Green Bay;17;8;20%;201,00;166,83
SO - 0008017;Online;22/12/2020;24/12/2020;26/12/2020;USD;14;Paul Holmes;82;California;CA;32835;112.011;Temecula;35;7;40%;1.829,10;749,93
SO - 0008018;Online;22/12/2020;31/12/2020;07/01/2021;USD;18;Shawn Wallace;162;Illinois;IL;45377;119.818;Lisle (Township);29;3;15%;1.943,00;1.573,83
SO - 0008019;In-Store;22/12/2020;14/01/2021;24/01/2021;USD;3;Jerry Green;92;Colorado;CO;42165;107.349;Boulder;15;5;10%;6.097,00;3.353,35
SO - 0008020;Online;22/12/2020;29/12/2020;02/01/2021;USD;12;Carl Nguyen;315;Texas;TX;114817;324.074;Corpus Christi;44;3;7,5%;1.139,00;785,91
SO - 0008021;Online;22/12/2020;02/01/2021;09/01/2021;USD;17;Frank Brown;230;North Carolina;NC;305488;827.097;Charlotte;39;8;15%;864,30;708,73
SO - 0008022;In-Store;22/12/2020;11/01/2021;14/01/2021;USD;4;Chris Armstrong;180;Illinois;IL;47997;125.730;York;12;4;7,5%;3.946,30;2.683,48
SO - 0008023;In-Store;23/12/2020;20/01/2021;30/01/2021;USD;8;George Lewis;209;Massachusetts;MA;55644;154.341;Springfield;4;2;15%;2.921,20;1.606,66
SO - 0008024;Distributor;23/12/2020;27/12/2020;06/01/2021;USD;23;Douglas Tucker;276;New York;NY;523690;1.455.444;The Bronx;42;6;5%;1.132,30;690,70
SO - 0008025;Distributor;23/12/2020;10/01/2021;19/01/2021;USD;21;Samuel Fowler;238;North Dakota;ND;49962;118.523;Fargo;19;4;5%;1.125,60;562,80
SO - 0008026;In-Store;23/12/2020;14/01/2021;17/01/2021;USD;3;Jerry Green;207;Massachusetts;MA;43801;110.402;Cambridge;13;8;5%;2.659,90;1.808,73
SO - 0008027;In-Store;23/12/2020;02/01/2021;11/01/2021;USD;11;Joshua Little;67;California;CA;40892;157.380;Salinas;42;7;5%;844,20;650,03
SO - 0008028;Distributor;23/12/2020;12/01/2021;22/01/2021;USD;22;Joe Price;246;New Jersey;NJ;43037;147.754;Paterson;5;8;5%;984,90;728,83
SO - 0008029;Online;23/12/2020;27/12/2020;30/12/2020;USD;13;Todd Roberts;318;Texas;TX;220682;681.124;El Paso;14;6;7,5%;3.390,20;1.729,00
SO - 0008030;Online;24/12/2020;20/01/2021;25/01/2021;USD;17;Frank Brown;90;Colorado;CO;44615;115.368;Arvada;19;1;15%;5.788,80;2.431,30
SO - 0008031;Online;24/12/2020;05/01/2021;12/01/2021;USD;14;Paul Holmes;145;Georgia;GA;52798;145.674;Savannah;19;5;5%;1.125,60;540,29
SO - 0008032;Wholesale;24/12/2020;05/01/2021;14/01/2021;USD;27;Shawn Torres;188;Indiana;IN;44154;113.236;Perry;47;3;5%;2.311,50;1.964,78
SO - 0008033;Online;24/12/2020;31/12/2020;06/01/2021;USD;16;Anthony Berry;52;California;CA;27225;107.140;Norwalk;19;4;5%;1.869,30;1.495,44
SO - 0008034;Online;24/12/2020;14/01/2021;16/01/2021;USD;15;Roger Alexander;92;Colorado;CO;42165;107.349;Boulder;43;7;10%;998,30;589,00
SO - 0008035;In-Store;24/12/2020;26/12/2020;27/12/2020;USD;4;Chris Armstrong;45;California;CA;24839;100.314;Jurupa Valley;32;8;10%;221,10;159,19
SO - 0008036;Wholesale;24/12/2020;16/01/2021;23/01/2021;USD;27;Shawn Torres;128;Florida;FL;38474;137.132;Miramar;6;1;7,5%;268,00;201,00
SO - 0008037;In-Store;24/12/2020;12/01/2021;20/01/2021;USD;3;Jerry Green;307;Texas;TX;42348;121.721;Abilene;21;4;40%;1.715,20;1.166,34
SO - 0008038;Online;24/12/2020;17/01/2021;25/01/2021;USD;13;Todd Roberts;300;South Dakota;SD;65538;171.544;Sioux Falls;32;6;20%;1.005,00;452,25
SO - 0008039;Wholesale;24/12/2020;11/01/2021;14/01/2021;USD;28;Carlos Miller;263;New York;NY;241539;771.018;Hempstead (Town);37;4;20%;837,50;711,88
SO - 0008040;Online;24/12/2020;19/01/2021;28/01/2021;USD;19;Nicholas Cunningham;340;Texas;TX;488645;1.469.845;San Antonio;37;3;7,5%;837,50;335,00
SO - 0008041;In-Store;24/12/2020;16/01/2021;25/01/2021;USD;6;Joshua Bennett;94;Colorado;CO;174441;456.568;Colorado Springs;40;6;7,5%;3.899,40;1.754,73
SO - 0008042;Online;25/12/2020;30/12/2020;08/01/2021;USD;13;Todd Roberts;126;Florida;FL;157347;441.003;Miami;29;8;5%;1.105,50;619,08
SO - 0008043;In-Store;25/12/2020;16/01/2021;19/01/2021;USD;6;Joshua Bennett;19;California;CA;45917;120.972;Berkeley;42;4;10%;268,00;142,04
SO - 0008044;Distributor;25/12/2020;17/01/2021;18/01/2021;USD;24;Roy Rice;166;Illinois;IL;50073;147.100;Naperville;1;8;15%;2.485,70;1.342,28
SO - 0008045;Online;25/12/2020;18/01/2021;22/01/2021;USD;15;Roger Alexander;129;Florida;FL;105359;270.934;Orlando;37;4;7,5%;6.284,60;4.650,60
SO - 0008046;In-Store;25/12/2020;21/01/2021;29/01/2021;USD;8;George Lewis;101;Colorado;CO;42679;133.451;Thornton;6;3;10%;1.949,70;857,87
SO - 0008047;Online;26/12/2020;22/01/2021;27/01/2021;USD;18;Shawn Wallace;307;Texas;TX;42348;121.721;Abilene;25;2;7,5%;1.721,90;1.033,14
SO - 0008048;Wholesale;26/12/2020;21/01/2021;26/01/2021;USD;26;Donald Reynolds;219;Minnesota;MN;168385;410.939;Minneapolis;37;8;5%;1.755,40;1.351,66
SO - 0008049;Online;26/12/2020;22/01/2021;28/01/2021;USD;15;Roger Alexander;250;Nevada;NV;43699;124.564;Enterprise;33;8;7,5%;3.222,70;1.933,62
SO - 0008050;Wholesale;26/12/2020;16/01/2021;18/01/2021;USD;28;Carlos Miller;95;Colorado;CO;275795;682.545;Denver;2;4;10%;2.318,20;1.483,65
SO - 0008051;Online;26/12/2020;22/01/2021;30/01/2021;USD;16;Anthony Berry;77;California;CA;27365;105.093;Santa Maria;5;1;10%;3.872,60;2.981,90
SO - 0008052;In-Store;26/12/2020;04/01/2021;14/01/2021;USD;2;Keith Griffin;277;New York;NY;73073;201.116;Yonkers;20;6;7,5%;1.045,20;438,98
SO - 0008053;Online;26/12/2020;15/01/2021;23/01/2021;USD;13;Todd Roberts;224;Missouri;MO;195033;475.378;Kansas City;41;5;5%;1.139,00;956,76
SO - 0008054;Online;26/12/2020;21/01/2021;30/01/2021;USD;14;Paul Holmes;189;Indiana;IN;39448;101.516;South Bend;27;7;5%;1.266,30;810,43
SO - 0008055;Online;27/12/2020;29/12/2020;08/01/2021;USD;18;Shawn Wallace;207;Massachusetts;MA;43801;110.402;Cambridge;32;4;7,5%;5.554,30;3.499,21
SO - 0008056;Online;27/12/2020;31/12/2020;09/01/2021;USD;16;Anthony Berry;211;Maryland;MD;242268;621.849;Baltimore;17;5;7,5%;1.909,50;916,56
SO - 0008057;In-Store;27/12/2020;10/01/2021;18/01/2021;USD;6;Joshua Bennett;278;Ohio;OH;83684;197.542;Akron;13;4;30%;201,00;92,46
SO - 0008058;Online;27/12/2020;08/01/2021;13/01/2021;USD;15;Roger Alexander;181;Indiana;IN;39770;100.453;Calumet;38;4;10%;1.018,40;651,78
SO - 0008059;Distributor;27/12/2020;16/01/2021;17/01/2021;USD;23;Douglas Tucker;225;Missouri;MO;71268;166.810;Springfield;44;2;7,5%;1.802,30;720,92
SO - 0008060;Online;27/12/2020;08/01/2021;12/01/2021;USD;12;Carl Nguyen;263;New York;NY;241539;771.018;Hempstead (Town);5;3;40%;1.065,30;617,87
SO - 0008061;Distributor;27/12/2020;15/01/2021;22/01/2021;USD;21;Samuel Fowler;260;New York;NY;161116;489.278;Brookhaven;38;8;7,5%;1.701,80;1.191,26
SO - 0008062;Wholesale;27/12/2020;24/01/2021;25/01/2021;USD;26;Donald Reynolds;278;Ohio;OH;83684;197.542;Akron;5;5;5%;3.892,70;2.724,89
SO - 0008063;Wholesale;27/12/2020;05/01/2021;06/01/2021;USD;27;Shawn Torres;269;New York;NY;98509;298.768;Oyster Bay;22;8;7,5%;6.472,20;4.983,59
SO - 0008064;In-Store;27/12/2020;02/01/2021;08/01/2021;USD;3;Jerry Green;320;Texas;TX;45452;154.407;Frisco;17;3;7,5%;944,70;689,63
SO - 0008065;Online;27/12/2020;19/01/2021;22/01/2021;USD;12;Carl Nguyen;351;Virginia;VA;81518;235.429;Chesapeake;31;2;10%;984,90;778,07
SO - 0008066;Wholesale;28/12/2020;11/01/2021;14/01/2021;USD;28;Carlos Miller;46;California;CA;47427;161.103;Lancaster;4;3;5%;3.906,10;3.281,12
SO - 0008067;Online;28/12/2020;02/01/2021;11/01/2021;USD;14;Paul Holmes;196;Kansas;KS;74830;186.515;Overland Park;17;2;10%;5.862,50;3.752,00
SO - 0008068;Online;28/12/2020;24/01/2021;02/02/2021;USD;17;Frank Brown;7;Arizona;AZ;73617;247.542;Gilbert;25;4;7,5%;3.403,60;2.688,84
SO - 0008069;Wholesale;28/12/2020;05/01/2021;07/01/2021;USD;28;Carlos Miller;46;California;CA;47427;161.103;Lancaster;40;8;40%;6.505,70;5.139,50
SO - 0008070;In-Store;28/12/2020;13/01/2021;18/01/2021;USD;9;Joshua Ryan;21;California;CA;42791;113.453;Carlsbad;27;8;10%;2.298,10;988,18
SO - 0008071;In-Store;28/12/2020;04/01/2021;09/01/2021;USD;1;Adam Hernandez;252;Nevada;NV;215614;623.747;Las Vegas;40;1;5%;5.427,00;2.496,42
SO - 0008072;Wholesale;28/12/2020;23/01/2021;29/01/2021;USD;26;Donald Reynolds;348;Utah;UT;36213;136.208;West Valley City;21;6;7,5%;1.721,90;1.033,14
SO - 0008073;In-Store;28/12/2020;06/01/2021;12/01/2021;USD;10;Jonathan Hawkins;145;Georgia;GA;52798;145.674;Savannah;14;4;5%;2.599,60;1.065,84
SO - 0008074;Online;28/12/2020;06/01/2021;13/01/2021;USD;14;Paul Holmes;111;Connecticut;CT;40213;108.802;Waterbury;2;3;5%;6.545,90;5.498,56
SO - 0008075;Distributor;28/12/2020;02/01/2021;08/01/2021;USD;23;Douglas Tucker;5;Arkansas;AR;79902;197.992;Little Rock;19;5;5%;790,60;490,17
SO - 0008076;Online;28/12/2020;11/01/2021;15/01/2021;USD;14;Paul Holmes;11;Arizona;AZ;525610;1.563.025;Phoenix;12;1;10%;1.038,50;664,64
SO - 0008077;Wholesale;28/12/2020;23/01/2021;29/01/2021;USD;28;Carlos Miller;86;California;CA;31886;122.225;Victorville;37;7;15%;227,80;150,35
SO - 0008078;Online;28/12/2020;17/01/2021;19/01/2021;USD;20;Anthony Torres;290;Oregon;OR;35284;102.347;Hillsboro;4;4;7,5%;5.855,80;2.576,55
SO - 0008079;Wholesale;29/12/2020;08/01/2021;13/01/2021;USD;28;Carlos Miller;291;Oregon;OR;254167;632.309;Portland;45;5;40%;3.852,50;1.618,05
SO - 0008080;In-Store;29/12/2020;20/01/2021;27/01/2021;USD;2;Keith Griffin;80;California;CA;92440;305.658;Stockton;32;7;30%;964,80;492,05
SO - 0008081;Online;29/12/2020;03/01/2021;05/01/2021;USD;14;Paul Holmes;121;Florida;FL;69219;237.069;Hialeah;22;6;5%;1.862,60;1.117,56
SO - 0008082;Distributor;29/12/2020;07/01/2021;11/01/2021;USD;22;Joe Price;279;Ohio;OH;133039;298.550;Cincinnati;17;1;10%;1.835,80;1.303,42
SO - 0008083;In-Store;29/12/2020;21/01/2021;26/01/2021;USD;4;Chris Armstrong;132;Florida;FL;41422;107.762;Pompano Beach;21;3;10%;5.051,80;4.243,51
SO - 0008084;Distributor;29/12/2020;20/01/2021;30/01/2021;USD;22;Joe Price;121;Florida;FL;69219;237.069;Hialeah;22;4;15%;3.959,70;2.930,18
SO - 0008085;In-Store;29/12/2020;11/01/2021;12/01/2021;USD;8;George Lewis;295;Pennsylvania;PA;132468;304.391;Pittsburgh;21;5;10%;850,90;519,05
SO - 0008086;In-Store;29/12/2020;09/01/2021;11/01/2021;USD;5;Stephen Payne;61;California;CA;55240;175.236;Rancho Cucamonga;26;6;7,5%;254,60;137,48
SO - 0008087;In-Store;30/12/2020;07/01/2021;14/01/2021;USD;9;Joshua Ryan;339;Texas;TX;36409;100.450;San Angelo;29;1;7,5%;234,50;121,94
SO - 0008088;Online;30/12/2020;02/01/2021;04/01/2021;USD;14;Paul Holmes;202;Louisiana;LA;50025;127.657;Lafayette;3;6;5%;3.202,60;1.921,56
SO - 0008089;Online;30/12/2020;23/01/2021;26/01/2021;USD;14;Paul Holmes;241;New Hampshire;NH;45145;110.229;Manchester;35;5;20%;3.825,70;2.792,76
SO - 0008090;Online;30/12/2020;20/01/2021;25/01/2021;USD;20;Anthony Torres;112;Connecticut;CT;40213;108.802;Waterbury (Town);36;8;10%;1.072,00;804,00
SO - 0008091;In-Store;30/12/2020;13/01/2021;19/01/2021;USD;6;Joshua Bennett;237;North Carolina;NC;93267;241.218;Winston-Salem;43;5;7,5%;2.211,00;1.370,82
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
