Ordernumber,Saleschannel,Orderdate,Shipdate,Deliverydate,Currencycode,Salesteamid,SalesteamName,Storid,Statename,Statecode,Householdincome,Population,Cityname,Productid,Productname,Orderquantity,DiscountApplied,Unitprice,UnitCost,Revenue,Profit,,
SO - 0007340,Wholesale,2020-10-04,2020-11-01,2020-11-08,USD,27,Shawn Torres,269,New York,NY,98509,298768,Oyster Bay,46,Sculptures,4,20%,931.3,428.4,745.04,316.64,,
SO - 0006457,Distributor,2020-06-23,2020-07-03,2020-07-08,USD,23,Douglas Tucker,187,Indiana,IN,58240,157105,North,9,Baseball,5,10%,3959.7,1663.07,1979.85,316.78,,
SO - 0007427,In-Store,2020-10-14,2020-10-23,2020-10-24,USD,7,Shawn Cook,149,Iowa,IA,81717,210330,Des Moines,24,Wall Frames,8,7.50%,3986.5,2072.98,2391.9,318.92,,
SO - 0005008,Distributor,2020-01-06,2020-01-24,2020-02-03,USD,22,Joe Price,9,Arizona,AZ,168914,471825,Mesa,46,Sculptures,6,20%,850.9,697.74,1021.08,323.34,,
SO - 0005823,In-Store,2020-04-08,2020-04-30,2020-05-10,USD,7,Shawn Cook,241,New Hampshire,NH,45145,110229,Manchester,27,Wreaths,2,40%,958.1,440.73,766.48,325.75,,
SO - 0006920,Wholesale,2020-08-16,2020-08-20,2020-08-22,USD,28,Carlos Miller,352,Virginia,VA,52940,136454,Hampton,34,Bedroom Furniture,2,40%,1018.4,488.83,814.72,325.89,,
SO - 0007600,Online,2020-11-01,2020-11-11,2020-11-19,USD,19,Nicholas Cunningham,305,Tennessee,TN,44518,126118,Murfreesboro,23,Accessories,5,15%,3651.5,2409.99,2738.63,328.64,,
SO - 0006803,Online,2020-08-01,2020-08-28,2020-09-02,USD,20,Anthony Torres,219,Minnesota,MN,168385,410939,Minneapolis,35,Table Linens,3,20%,1943,835.49,1165.8,330.31,,
SO - 0006165,In-Store,2020-05-20,2020-06-17,2020-06-25,USD,8,George Lewis,98,Colorado,CO,37157,101350,Highlands Ranch,41,Collectibles,6,30%,241.2,103.72,434.16,330.44,,
SO - 0005022,In-Store,2020-01-07,2020-01-09,2020-01-10,USD,4,Chris Armstrong,175,Illinois,IL,49006,132162,Schaumburg (Township),14,Mirrors,6,15%,897.8,475.83,808.02,332.19,,
SO - 0006264,Distributor,2020-05-31,2020-06-14,2020-06-23,USD,21,Samuel Fowler,212,Maryland,MD,39893,102116,Columbia,7,Dinnerware,8,7.50%,2425.4,1115.68,1455.24,339.56,,
SO - 0006939,Distributor,2020-08-18,2020-08-31,2020-09-10,USD,21,Samuel Fowler,64,California,CA,91267,322424,Riverside,8,Cocktail Glasses,7,10%,5661.5,3623.36,3963.05,339.69,,
SO - 0007362,In-Store,2020-10-06,2020-10-27,2020-10-29,USD,1,Adam Hernandez,155,Illinois,IL,50476,116358,Capital,6,Computers,5,15%,1031.8,433.36,773.85,340.49,,
SO - 0007456,In-Store,2020-10-18,2020-10-31,2020-11-01,USD,11,Joshua Little,54,California,CA,60493,175691,Oceanside,3,Table Lamps,8,7.50%,1896.1,796.36,1137.66,341.3,,
SO - 0006034,Online,2020-05-04,2020-05-29,2020-05-30,USD,16,Anthony Berry,36,California,CA,72684,232206,Fremont,26,Candles,4,20%,1139,569.5,911.2,341.7,,
SO - 0006499,In-Store,2020-06-28,2020-07-04,2020-07-09,USD,10,Jonathan Hawkins,330,Texas,TX,50455,162898,McKinney,8,Cocktail Glasses,2,30%,3450.5,1725.25,2070.3,345.05,,
SO - 0007368,Online,2020-10-07,2020-10-14,2020-10-22,USD,15,Roger Alexander,80,California,CA,92440,305658,Stockton,7,Dinnerware,8,7.50%,5896,3183.84,3537.6,353.76,,
SO - 0006350,Distributor,2020-06-09,2020-06-25,2020-07-01,USD,23,Douglas Tucker,241,New Hampshire,NH,45145,110229,Manchester,12,Dining Furniture,8,10%,958.1,411.98,766.48,354.5,,
SO - 0004980,In-Store,2020-01-03,2020-01-15,2020-01-18,USD,8,George Lewis,57,California,CA,50815,207254,Oxnard,38,Wardrobes,3,20%,1775.5,710.2,1065.3,355.1,,
SO - 0005707,In-Store,2020-03-27,2020-04-16,2020-04-23,USD,7,Shawn Cook,106,Connecticut,CT,45239,124006,Hartford (Town),11,Ornaments,4,15%,5165.7,2737.82,3099.42,361.6,,
SO - 0005265,Distributor,2020-02-03,2020-02-08,2020-02-10,USD,21,Samuel Fowler,268,New York,NY,76523,230614,North Hempstead,10,Blankets,3,30%,1072,600.32,964.8,364.48,,
SO - 0006985,Distributor,2020-08-24,2020-09-06,2020-09-11,USD,23,Douglas Tucker,254,Nevada,NV,88401,223182,Paradise,10,Blankets,2,30%,1862.6,745.04,1117.56,372.52,,
SO - 0005428,Wholesale,2020-02-22,2020-03-07,2020-03-10,USD,27,Shawn Torres,285,Oklahoma,OK,44911,120284,Norman,3,Table Lamps,6,40%,234.5,189.95,562.8,372.86,,
SO - 0007277,Wholesale,2020-09-26,2020-10-19,2020-10-28,USD,27,Shawn Torres,360,Washington,WA,37994,100242,Renton,8,Cocktail Glasses,4,15%,3122.2,1498.66,1873.32,374.66,,
SO - 0006169,In-Store,2020-05-21,2020-05-24,2020-05-27,USD,5,Stephen Payne,333,Texas,TX,39057,118968,Odessa,21,Floral,8,15%,837.5,628.13,1005,376.88,,
SO - 0006438,Online,2020-06-20,2020-07-18,2020-07-27,USD,14,Paul Holmes,247,New Jersey,NJ,33375,102105,Woodbridge (Township),11,Ornaments,3,30%,924.6,453.05,832.14,379.09,,
SO - 0005266,In-Store,2020-02-03,2020-02-24,2020-02-27,USD,1,Adam Hernandez,73,California,CA,37861,103536,San Mateo,21,Floral,6,15%,2539.3,1904.48,2285.37,380.9,,
SO - 0007504,In-Store,2020-10-23,2020-11-06,2020-11-16,USD,3,Jerry Green,248,New Mexico,NM,222098,559121,Albuquerque,26,Candles,8,10%,1909.5,1145.7,1527.6,381.9,,
SO - 0007106,In-Store,2020-09-07,2020-09-15,2020-09-20,USD,12,Carl Nguyen,33,California,CA,45041,151451,Escondido,2,Photo Frames,7,40%,194.3,159.33,544.04,384.71,,
SO - 0005203,In-Store,2020-01-26,2020-02-03,2020-02-09,USD,1,Adam Hernandez,147,Iowa,IA,53328,130405,Cedar Rapids,29,Pendants,5,15%,1105.5,442.2,829.13,386.93,,
SO - 0006218,Online,2020-05-27,2020-06-01,2020-06-10,USD,19,Nicholas Cunningham,343,Texas,TX,46719,132356,Waco,19,Vanities,4,20%,1078.7,474.63,862.96,388.33,,
SO - 0006711,In-Store,2020-07-21,2020-08-18,2020-08-20,USD,8,George Lewis,255,Nevada,NV,92283,241445,Reno,41,Collectibles,7,10%,3886,2331.6,2720.2,388.6,,
SO - 0005297,Wholesale,2020-02-08,2020-03-03,2020-03-07,USD,26,Donald Reynolds,120,Florida,FL,47968,130128,Gainesville,17,Furniture Cushions,8,7.50%,2606.3,1172.84,1563.78,390.95,,
SO - 0006242,Online,2020-05-29,2020-06-05,2020-06-13,USD,16,Anthony Berry,203,Louisiana,LA,59557,140074,Metairie,9,Baseball,8,10%,3912.8,2738.96,3130.24,391.28,,
SO - 0007710,In-Store,2020-11-15,2020-11-18,2020-11-19,USD,6,Joshua Bennett,331,Texas,TX,47795,144788,Mesquite,24,Wall Frames,5,20%,2304.8,1912.98,2304.8,391.82,,
SO - 0007387,Distributor,2020-10-09,2020-10-16,2020-10-22,USD,23,Douglas Tucker,274,New York,NY,156341,474558,Staten Island,40,Rugs,8,15%,938,731.64,1125.6,393.96,,
SO - 0005620,Wholesale,2020-03-16,2020-04-11,2020-04-18,USD,26,Donald Reynolds,106,Connecticut,CT,45239,124006,Hartford (Town),11,Ornaments,2,40%,1286.4,630.34,1029.12,398.78,,
SO - 0006966,Distributor,2020-08-21,2020-09-08,2020-09-14,USD,22,Joe Price,310,Texas,TX,351195,931830,Austin,39,Floor Lamps,4,20%,1025.1,420.29,820.08,399.79,,
SO - 0005427,In-Store,2020-02-22,2020-03-06,2020-03-13,USD,2,Keith Griffin,34,California,CA,34623,112970,Fairfield,45,Home Fragrances,6,20%,1005,804,1206,402,,
SO - 0005902,In-Store,2020-04-18,2020-05-11,2020-05-14,USD,11,Joshua Little,167,Illinois,IL,37133,102708,Naperville (Township),4,Serveware,6,20%,1005,804,1206,402,,
SO - 0005074,Online,2020-01-12,2020-01-23,2020-01-29,USD,20,Anthony Torres,173,Illinois,IL,58559,148278,Rockford,15,Outdoor Furniture,8,30%,214.4,109.34,514.56,405.22,,
SO - 0006053,Wholesale,2020-05-07,2020-05-17,2020-05-21,USD,25,Patrick Graham,366,Wisconsin,WI,104087,248951,Madison,17,Furniture Cushions,6,15%,2626.4,1943.54,2363.76,420.22,,
SO - 0007849,In-Store,2020-12-01,2020-12-17,2020-12-22,USD,4,Chris Armstrong,91,Colorado,CO,124031,359407,Aurora,15,Outdoor Furniture,8,7.50%,3832.4,1877.88,2299.44,421.56,,
SO - 0006361,Online,2020-06-11,2020-06-17,2020-06-27,USD,18,Shawn Wallace,358,Washington,WA,42079,108010,Everett,24,Wall Frames,6,15%,1005,482.4,904.5,422.1,,
SO - 0007871,Wholesale,2020-12-04,2020-12-30,2020-12-31,USD,25,Patrick Graham,114,Florida,FL,40453,106604,Brandon,38,Wardrobes,6,20%,1058.6,846.88,1270.32,423.44,,
SO - 0005276,Distributor,2020-02-05,2020-02-29,2020-03-05,USD,22,Joe Price,203,Louisiana,LA,59557,140074,Metairie,36,Clocks,8,10%,2358.4,1462.21,1886.72,424.51,,
SO - 0005000,Distributor,2020-01-05,2020-01-17,2020-01-25,USD,23,Douglas Tucker,333,Texas,TX,39057,118968,Odessa,46,Sculptures,3,20%,2371.8,996.16,1423.08,426.92,,
SO - 0006134,Distributor,2020-05-17,2020-06-01,2020-06-11,USD,23,Douglas Tucker,291,Oregon,OR,254167,632309,Portland,5,Bathroom Furniture,6,10%,3557.7,1707.7,2134.62,426.92,,
SO - 0007265,In-Store,2020-09-25,2020-09-29,2020-10-07,USD,7,Shawn Cook,209,Massachusetts,MA,55644,154341,Springfield,23,Accessories,7,15%,837.5,452.25,879.38,427.13,,
SO - 0006254,In-Store,2020-05-30,2020-06-08,2020-06-09,USD,9,Joshua Ryan,150,Idaho,ID,86916,218281,Boise City,29,Pendants,6,15%,1802.3,1189.52,1622.07,432.55,,
SO - 0006722,In-Store,2020-07-22,2020-07-25,2020-07-29,USD,7,Shawn Cook,139,Georgia,GA,45389,123912,Athens,42,Bean Bags,4,20%,3939.6,2718.32,3151.68,433.36,,
SO - 0006643,In-Store,2020-07-14,2020-08-11,2020-08-21,USD,4,Chris Armstrong,91,Colorado,CO,124031,359407,Aurora,43,Festive,7,15%,1065.3,681.79,1118.57,436.77,,
SO - 0007578,In-Store,2020-10-31,2020-11-17,2020-11-27,USD,11,Joshua Little,242,New Jersey,NJ,35198,102701,Edison,8,Cocktail Glasses,8,15%,951.4,704.04,1141.68,437.64,,
SO - 0006673,Distributor,2020-07-17,2020-08-03,2020-08-08,USD,24,Roy Rice,16,California,CA,99670,350742,Anaheim,36,Clocks,2,0.40,2599.6,1637.75,2079.68,441.93,,
SO - 0006933,Online,2020-08-18,2020-09-07,2020-09-16,USD,17,Frank Brown,308,Texas,TX,74769,198645,Amarillo,21,Floral,8,10%,2458.9,1524.52,1967.12,442.6,,
SO - 0007463,Distributor,2020-10-19,2020-11-01,2020-11-02,USD,21,Samuel Fowler,270,New York,NY,782664,2339150,Queens,16,Stemware,6,40%,227.8,102.51,546.72,444.21,,
SO - 0007558,In-Store,2020-10-29,2020-11-07,2020-11-09,USD,8,George Lewis,83,California,CA,45912,129339,Thousand Oaks,37,Platters,6,10%,2479,1041.18,1487.4,446.22,,
SO - 0007588,In-Store,2020-11-01,2020-11-14,2020-11-20,USD,9,Joshua Ryan,128,Florida,FL,38474,137132,Miramar,41,Collectibles,8,15%,991.6,743.7,1189.92,446.22,,
SO - 0005914,In-Store,2020-04-20,2020-05-13,2020-05-18,USD,2,Keith Griffin,118,Florida,FL,33707,100882,Davie,24,Wall Frames,6,20%,1212.7,1006.54,1455.24,448.7,,
SO - 0005398,In-Store,2020-02-19,2020-02-21,2020-02-28,USD,3,Jerry Green,230,North Carolina,NC,305488,827097,Charlotte,33,Outdoor Decor,6,20%,938,675.36,1125.6,450.24,,
SO - 0005295,Online,2020-02-08,2020-02-25,2020-03-01,USD,15,Roger Alexander,69,California,CA,41029,109708,San Buenaventura (Ventura),1,Cookware,6,15%,3477.3,2677.52,3129.57,452.05,,
SO - 0007906,In-Store,2020-12-08,2020-12-12,2020-12-21,USD,2,Keith Griffin,147,Iowa,IA,53328,130405,Cedar Rapids,17,Furniture Cushions,5,15%,6478.9,4405.65,4859.18,453.52,,
SO - 0006560,In-Store,2020-07-05,2020-07-19,2020-07-20,USD,12,Carl Nguyen,120,Florida,FL,47968,130128,Gainesville,41,Collectibles,6,20%,911.2,637.84,1093.44,455.6,,
SO - 0005858,Wholesale,2020-04-13,2020-04-28,2020-04-30,USD,27,Shawn Torres,84,California,CA,55377,148475,Torrance,45,Home Fragrances,8,10%,1768.8,955.15,1415.04,459.89,,
SO - 0006878,In-Store,2020-08-11,2020-08-19,2020-08-29,USD,2,Keith Griffin,304,Tennessee,TN,249775,655770,Memphis,19,Vanities,7,10%,2733.6,1448.81,1913.52,464.71,,
SO - 0007785,In-Store,2020-11-23,2020-11-27,2020-11-30,USD,5,Stephen Payne,38,California,CA,45031,140847,Fullerton,17,Furniture Cushions,5,20%,1139,672.01,1139,466.99,,
SO - 0005628,Wholesale,2020-03-17,2020-03-19,2020-03-26,USD,27,Shawn Torres,180,Illinois,IL,47997,125730,York,41,Collectibles,7,10%,3892.7,2257.77,2724.89,467.12,,
SO - 0005857,In-Store,2020-04-12,2020-04-15,2020-04-25,USD,3,Jerry Green,4,Alabama,AL,79866,200602,Montgomery,43,Festive,5,20%,1072,600.32,1072,471.68,,
SO - 0005796,In-Store,2020-04-05,2020-04-10,2020-04-13,USD,8,George Lewis,114,Florida,FL,40453,106604,Brandon,1,Cookware,8,15%,1051.9,788.93,1262.28,473.36,,
SO - 0005918,Distributor,2020-04-21,2020-05-13,2020-05-21,USD,23,Douglas Tucker,308,Texas,TX,74769,198645,Amarillo,3,Table Lamps,7,10%,1768.8,760.58,1238.16,477.58,,
SO - 0005313,In-Store,2020-02-10,2020-03-07,2020-03-15,USD,5,Stephen Payne,71,California,CA,353287,864816,San Francisco,10,Blankets,8,15%,1045.2,773.45,1254.24,480.79,,
SO - 0006376,Online,2020-06-12,2020-07-04,2020-07-13,USD,13,Todd Roberts,307,Texas,TX,42348,121721,Abilene,15,Outdoor Furniture,4,15%,2425.4,970.16,1455.24,485.08,,
SO - 0007721,Online,2020-11-16,2020-11-20,2020-11-29,USD,13,Todd Roberts,111,Connecticut,CT,40213,108802,Waterbury,12,Dining Furniture,6,15%,2452.2,1716.54,2206.98,490.44,,
SO - 0006052,Distributor,2020-05-07,2020-05-23,2020-05-28,USD,22,Joe Price,318,Texas,TX,220682,681124,El Paso,21,Floral,7,15%,1266.3,835.76,1329.62,493.86,,
SO - 0006931,In-Store,2020-08-17,2020-08-26,2020-08-31,USD,12,Carl Nguyen,318,Texas,TX,220682,681124,El Paso,35,Table Linens,6,15%,1078.7,474.63,970.83,496.2,,
SO - 0005151,Online,2020-01-20,2020-02-03,2020-02-07,USD,17,Frank Brown,113,District of Columbia,DC,273390,672228,Washington,8,Cocktail Glasses,8,15%,857.6,531.71,1029.12,497.41,,
SO - 0005145,In-Store,2020-01-19,2020-01-22,2020-01-28,USD,10,Jonathan Hawkins,36,California,CA,72684,232206,Fremont,18,Basketball,8,7.50%,2492.4,996.96,1495.44,498.48,,
SO - 0006518,In-Store,2020-06-30,2020-07-25,2020-07-30,USD,3,Jerry Green,82,California,CA,32835,112011,Temecula,5,Bathroom Furniture,8,15%,891.1,570.3,1069.32,499.02,,
SO - 0006941,In-Store,2020-08-19,2020-08-28,2020-08-31,USD,11,Joshua Little,83,California,CA,45912,129339,Thousand Oaks,21,Floral,8,7.50%,2633.1,1079.57,1579.86,500.29,,
SO - 0006239,In-Store,2020-05-29,2020-05-31,2020-06-04,USD,2,Keith Griffin,343,Texas,TX,46719,132356,Waco,37,Platters,8,10%,2391.9,1411.22,1913.52,502.3,,
SO - 0007316,Online,2020-10-02,2020-10-30,2020-11-04,USD,20,Anthony Torres,59,California,CA,54536,142250,Pasadena,14,Mirrors,7,10%,2793.9,1452.83,1955.73,502.9,,
SO - 0007339,In-Store,2020-10-04,2020-10-10,2020-10-16,USD,1,Adam Hernandez,237,North Carolina,NC,93267,241218,Winston-Salem,16,Stemware,3,20%,2519.2,1007.68,1511.52,503.84,,
SO - 0007560,Online,2020-10-29,2020-10-31,2020-11-09,USD,19,Nicholas Cunningham,242,New Jersey,NJ,35198,102701,Edison,41,Collectibles,6,20%,1078.7,787.45,1294.44,506.99,,
SO - 0006195,In-Store,2020-05-24,2020-06-10,2020-06-13,USD,6,Joshua Bennett,215,Michigan,MI,73026,195097,Grand Rapids,14,Mirrors,7,15%,1815.7,1398.09,1906.49,508.4,,
SO - 0007679,Wholesale,2020-11-12,2020-12-06,2020-12-16,USD,27,Shawn Torres,258,New York,NY,49558,125109,Amherst,4,Serveware,7,7.50%,5400.2,2322.09,2835.11,513.02,,
SO - 0005921,Wholesale,2020-04-21,2020-05-10,2020-05-14,USD,26,Donald Reynolds,229,North Carolina,NC,56034,159769,Cary,38,Wardrobes,6,15%,2566.1,1796.27,2309.49,513.22,,
SO - 0007659,In-Store,2020-11-09,2020-12-07,2020-12-17,USD,6,Joshua Bennett,299,South Carolina,SC,37597,108304,North Charleston,6,Computers,8,15%,1038.5,726.95,1246.2,519.25,,
SO - 0006193,In-Store,2020-05-23,2020-06-15,2020-06-21,USD,8,George Lewis,15,Arizona,AZ,206342,531641,Tucson,40,Rugs,2,40%,3999.9,2679.93,3199.92,519.99,,
SO - 0005112,Online,2020-01-15,2020-01-23,2020-02-01,USD,19,Nicholas Cunningham,167,Illinois,IL,37133,102708,Naperville (Township),29,Pendants,5,15%,1681.7,739.95,1261.28,521.33,,
SO - 0006131,Online,2020-05-16,2020-06-07,2020-06-16,USD,14,Paul Holmes,350,Virginia,VA,98441,220173,Arlington,21,Floral,7,10%,5279.6,3167.76,3695.72,527.96,,
SO - 0006041,In-Store,2020-05-05,2020-05-14,2020-05-23,USD,12,Carl Nguyen,130,Florida,FL,37821,107888,Palm Bay,33,Outdoor Decor,7,15%,991.6,505.72,1041.18,535.46,,
SO - 0006652,Online,2020-07-15,2020-08-11,2020-08-16,USD,16,Anthony Berry,74,California,CA,74757,335400,Santa Ana,5,Bathroom Furniture,8,15%,837.5,469,1005,536,,
SO - 0007032,Online,2020-08-30,2020-09-10,2020-09-13,USD,13,Todd Roberts,328,Texas,TX,90433,249042,Lubbock,17,Furniture Cushions,3,30%,1078.7,431.48,970.83,539.35,,
SO - 0007002,Online,2020-08-26,2020-09-10,2020-09-16,USD,16,Anthony Berry,196,Kansas,KS,74830,186515,Overland Park,26,Candles,8,15%,958.1,603.6,1149.72,546.12,,
SO - 0007702,In-Store,2020-11-14,2020-11-29,2020-12-09,USD,8,George Lewis,342,Texas,TX,37644,103700,Tyler,22,Wine Storage,5,15%,2619.7,1414.64,1964.78,550.14,,
SO - 0005417,Distributor,2020-02-21,2020-02-28,2020-03-07,USD,24,Roy Rice,17,California,CA,33718,110542,Antioch,37,Platters,5,0.15,3953,2411.33,2964.75,553.42,,
SO - 0007697,Online,2020-11-14,2020-11-30,2020-12-02,USD,19,Nicholas Cunningham,209,Massachusetts,MA,55644,154341,Springfield,18,Basketball,4,20%,3470.6,2221.18,2776.48,555.3,,
SO - 0007642,Online,2020-11-07,2020-12-02,2020-12-05,USD,18,Shawn Wallace,304,Tennessee,TN,249775,655770,Memphis,4,Serveware,4,30%,1051.9,704.77,1262.28,557.51,,
SO - 0006397,In-Store,2020-06-15,2020-07-11,2020-07-18,USD,11,Joshua Little,129,Florida,FL,105359,270934,Orlando,3,Table Lamps,3,30%,2324.9,1534.43,2092.41,557.98,,
SO - 0007095,In-Store,2020-09-06,2020-09-25,2020-10-05,USD,4,Chris Armstrong,320,Texas,TX,45452,154407,Frisco,7,Dinnerware,8,10%,2800.6,1680.36,2240.48,560.12,,
SO - 0005240,Online,2020-01-31,2020-02-20,2020-02-21,USD,16,Anthony Berry,31,California,CA,49316,166913,Elk Grove,28,Phones,8,10%,2546,1476.68,2036.8,560.12,,
SO - 0006130,Distributor,2020-05-16,2020-06-13,2020-06-14,USD,23,Douglas Tucker,249,New Mexico,NM,38925,101643,Las Cruces,14,Mirrors,3,30%,3745.3,2808.98,3370.77,561.8,,
SO - 0005469,In-Store,2020-02-25,2020-03-16,2020-03-20,USD,7,Shawn Cook,219,Minnesota,MN,168385,410939,Minneapolis,22,Wine Storage,6,15%,1842.5,1087.08,1658.25,571.18,,
SO - 0006664,Online,2020-07-17,2020-08-04,2020-08-13,USD,12,Carl Nguyen,230,North Carolina,NC,305488,827097,Charlotte,24,Wall Frames,4,40%,723.6,586.12,1157.76,571.64,,
SO - 0007717,In-Store,2020-11-16,2020-12-07,2020-12-13,USD,6,Joshua Bennett,240,Nebraska,NE,173764,443885,Omaha,41,Collectibles,4,30%,1005,633.15,1206,572.85,,
SO - 0006802,Distributor,2020-08-01,2020-08-29,2020-08-30,USD,22,Joe Price,210,Massachusetts,MA,68576,184815,Worcester,8,Cocktail Glasses,4,30%,1226.1,895.05,1471.32,576.27,,
SO - 0005336,Distributor,2020-02-12,2020-02-18,2020-02-24,USD,22,Joe Price,251,Nevada,NV,104492,285667,Henderson,13,Bakeware,8,7.50%,5266.2,2580.44,3159.72,579.28,,
SO - 0006680,Online,2020-07-18,2020-07-31,2020-08-03,USD,20,Anthony Torres,353,Virginia,VA,69073,182385,Newport News,38,Wardrobes,8,15%,743.7,312.35,892.44,580.09,,
SO - 0005199,In-Store,2020-01-26,2020-02-12,2020-02-16,USD,2,Keith Griffin,169,Illinois,IL,42938,114057,Palatine (Township),17,Furniture Cushions,3,30%,1876,1106.84,1688.4,581.56,,
SO - 0007143,Wholesale,2020-09-13,2020-10-05,2020-10-10,USD,26,Donald Reynolds,287,Oklahoma,OK,164471,403505,Tulsa,42,Bean Bags,8,15%,1025.1,645.81,1230.12,584.31,,
SO - 0005487,Distributor,2020-02-27,2020-03-11,2020-03-18,USD,25,Patrick Graham,225,Missouri,MO,71268,166810,Springfield,46,Sculptures,8,15%,1085.4,716.36,1302.48,586.12,,
SO - 0005234,In-Store,2020-01-30,2020-02-14,2020-02-16,USD,6,Joshua Bennett,186,Indiana,IN,48011,123397,Lawrence (Township),43,Festive,6,10%,3457.2,1486.6,2074.32,587.72,,
SO - 0006877,In-Store,2020-08-11,2020-08-24,2020-08-25,USD,11,Joshua Little,127,Florida,FL,31003,113187,Miami Gardens,34,Bedroom Furniture,5,15%,2278,1116.22,1708.5,592.28,,
SO - 0005486,Online,2020-02-27,2020-03-06,2020-03-11,USD,13,Todd Roberts,109,Connecticut,CT,46974,128874,Stamford,30,Wall Coverings,2,40%,2606.3,1485.59,2085.04,599.45,,
SO - 0007856,In-Store,2020-12-02,2020-12-07,2020-12-13,USD,4,Chris Armstrong,73,California,CA,37861,103536,San Mateo,17,Furniture Cushions,7,20%,904.5,660.29,1266.3,606.02,,
SO - 0005500,Wholesale,2020-02-29,2020-03-02,2020-03-04,USD,25,Patrick Graham,364,Washington,WA,66417,172860,Vancouver,28,Phones,4,30%,1165.8,792.74,1398.96,606.22,,
SO - 0005829,In-Store,2020-04-09,2020-05-07,2020-05-10,USD,5,Stephen Payne,135,Florida,FL,105443,257083,St. Petersburg,17,Furniture Cushions,7,15%,1125.6,574.06,1181.88,607.82,,
SO - 0006246,Online,2020-05-29,2020-06-14,2020-06-24,USD,20,Anthony Torres,52,California,CA,27225,107140,Norwalk,11,Ornaments,6,15%,1246.2,510.94,1121.58,610.64,,
SO - 0006152,Wholesale,2020-05-18,2020-06-10,2020-06-16,USD,27,Shawn Torres,165,Illinois,IL,43510,118844,Milton,17,Furniture Cushions,7,10%,2371.8,1043.59,1660.26,616.67,,
SO - 0005908,In-Store,2020-04-20,2020-04-27,2020-05-07,USD,9,Joshua Ryan,25,California,CA,48156,164226,Corona,28,Phones,3,40%,1313.2,945.5,1575.84,630.34,,
SO - 0005408,In-Store,2020-02-20,2020-02-22,2020-02-28,USD,9,Joshua Ryan,276,New York,NY,523690,1455444,The Bronx,5,Bathroom Furniture,6,10%,3953,1739.32,2371.8,632.48,,
SO - 0006320,In-Store,2020-06-05,2020-06-11,2020-06-18,USD,7,Shawn Cook,337,Texas,TX,40020,110815,Richardson,5,Bathroom Furniture,7,10%,3999.9,2159.95,2799.93,639.98,,
SO - 0007796,In-Store,2020-11-24,2020-12-19,2020-12-24,USD,11,Joshua Little,9,Arizona,AZ,168914,471825,Mesa,17,Furniture Cushions,8,15%,1782.2,1497.05,2138.64,641.59,,
SO - 0006087,In-Store,2020-05-11,2020-06-03,2020-06-13,USD,8,George Lewis,294,Pennsylvania,PA,581050,1567442,Philadelphia,37,Platters,7,10%,4020,2170.8,2814,643.2,,
SO - 0007155,Online,2020-09-14,2020-10-07,2020-10-12,USD,16,Anthony Berry,39,California,CA,46998,175393,Garden Grove,32,Vases,4,40%,837.5,695.13,1340,644.88,,
SO - 0006725,Wholesale,2020-07-23,2020-08-15,2020-08-25,USD,28,Carlos Miller,131,Florida,FL,56171,166611,Pembroke Pines,25,TV and video,5,15%,2458.9,1180.27,1844.18,663.9,,
SO - 0005496,In-Store,2020-02-28,2020-03-17,2020-03-19,USD,1,Adam Hernandez,262,New York,NY,110549,258071,Buffalo,39,Floor Lamps,7,15%,1963.1,1393.8,2061.26,667.45,,
SO - 0005615,In-Store,2020-03-14,2020-04-02,2020-04-11,USD,10,Jonathan Hawkins,4,Alabama,AL,79866,200602,Montgomery,28,Phones,7,10%,3939.6,2087.99,2757.72,669.73,,
SO - 0005773,In-Store,2020-04-03,2020-04-11,2020-04-21,USD,10,Jonathan Hawkins,206,Massachusetts,MA,256294,667137,Boston,38,Wardrobes,8,10%,3939.6,2481.95,3151.68,669.73,,
SO - 0007832,In-Store,2020-11-29,2020-12-18,2020-12-28,USD,11,Joshua Little,105,Connecticut,CT,45239,124006,Hartford,38,Wardrobes,6,20%,1266.3,848.42,1519.56,671.14,,
SO - 0005310,In-Store,2020-02-09,2020-02-15,2020-02-23,USD,5,Stephen Payne,84,California,CA,55377,148475,Torrance,29,Pendants,3,40%,1165.8,722.8,1398.96,676.16,,
SO - 0004987,In-Store,2020-01-03,2020-01-06,2020-01-08,USD,5,Stephen Payne,359,Washington,WA,42233,126952,Kent,33,Outdoor Decor,5,15%,5226,3240.12,3919.5,679.38,,
SO - 0005003,Distributor,2020-01-05,2020-01-30,2020-02-03,USD,25,Patrick Graham,192,Indiana,IN,41596,106185,Wayne,26,Candles,8,10%,3865.9,2396.86,3092.72,695.86,,
SO - 0006118,In-Store,2020-05-15,2020-06-04,2020-06-11,USD,11,Joshua Little,351,Virginia,VA,81518,235429,Chesapeake,22,Wine Storage,8,10%,2485.7,1292.56,1988.56,696,,
SO - 0006417,Online,2020-06-18,2020-07-09,2020-07-15,USD,13,Todd Roberts,166,Illinois,IL,50073,147100,Naperville,5,Bathroom Furniture,7,15%,2371.8,1778.85,2490.39,711.54,,
SO - 0007943,Online,2020-12-13,2020-12-18,2020-12-25,USD,18,Shawn Wallace,149,Iowa,IA,81717,210330,Des Moines,44,Pillows,6,20%,1005,492.45,1206,713.55,,
